"Weekday","FieldOfStudy","Race","Age","Gender","Edu","Political","SocialStatus","Religious","USAScore","UKScore","ItalyScore","ChinaScore"
2,6,"White",36,"Female",9,"Moderate",8,1,"No_Bias",NA,NA,0.209649127910255
2,11,"Other",26,"Female",5,"Left",4,1,"No_Bias",NA,NA,0.174461060107626
2,NA,"Asian",17,"Female",NA,"Left",6,1,"No_Bias",NA,NA,-0.310643101663849
2,13,"White",25,"Male",4,"Moderate",5,1,"No_Bias",NA,NA,0.59930780179845
2,2,"White",29,"Female",8,"Left",8,3,"No_Bias",NA,NA,0.44837525849409
2,3,"Black",53,"Female",7,"Left",7,2,"No_Bias",NA,NA,0.302076530464862
2,1,"Other",22,"Male",6,"Moderate",4,4,"No_Bias",NA,NA,0.121779713044264
2,NA,"White",21,"Male",NA,"Moderate",5,2,"No_Bias",0.20086581084319,NA,NA
2,5,"Black",24,"Female",8,"Moderate",7,3,"No_Bias",-0.121524804194881,NA,NA
2,2,"Asian",40,"Female",9,"Left",7,3,"No_Bias",NA,NA,0.135033319375879
2,9,"White",39,"Male",9,NA,7,1,"No_Bias",-0.22948927375769,NA,NA
2,2,"Asian",25,"Female",7,"Left",7,1,"No_Bias",NA,NA,NA
2,9,"White",26,NA,5,"Left",10,4,"No_Bias",0.377905898237774,NA,NA
2,5,"White",51,"Female",13,"Moderate",7,3,"No_Bias",NA,-0.381830235659428,NA
2,1,"Asian",17,"Female",4,"Left",6,3,"No_Bias",NA,NA,NA
2,5,"White",24,"Male",7,"Left",7,1,NA,-0.0867877208455267,NA,NA
2,15,"White",15,"Female",3,"Moderate",6,1,NA,NA,0.1134650073892,NA
2,8,"White",54,"Male",7,"Right",6,2,"No_Bias",NA,NA,NA
2,12,"White",35,"Female",14,"Left",7,2,"No_Bias",NA,-0.362654156310076,NA
2,2,"White",20,"Male",5,"Left",8,2,"No_Bias",NA,NA,NA
2,6,"White",23,"Male",7,"Moderate",6,2,"No_Bias",NA,0.156010338073795,NA
2,2,"White",77,"Male",10,"Right",8,3,"No_Bias",NA,NA,-0.132349954501685
2,6,"Black",22,"Male",7,"Moderate",4,2,"No_Bias",NA,0.30506376443156,NA
2,10,"White",45,"Female",11,"Left",3,1,"No_Bias",NA,-0.655214450589555,NA
2,14,"White",19,"Female",4,"Moderate",8,1,"No_Bias",NA,NA,-0.883275170945775
2,NA,"Asian",15,"Female",NA,"Moderate",1,3,"No_Bias",NA,NA,0.347911409503909
2,5,"Black",60,"Male",13,"Left",6,3,"No_Bias",NA,NA,-0.456547669535958
2,11,"White",34,"Female",9,"Left",8,1,"No_Bias",NA,NA,-0.208851830929031
2,1,"White",25,"Female",7,"Moderate",5,1,"No_Bias",0.189362233629177,NA,NA
2,15,"White",29,"Female",4,"Moderate",5,2,"No_Bias",NA,NA,0.144245242208965
2,15,"White",53,"Male",7,"Moderate",6,1,"COVID",0.368355698280967,NA,NA
2,14,"Asian",16,"Female",3,"Moderate",6,2,"No_Bias",NA,NA,0.606370951530395
2,2,"White",18,"Male",4,"Right",8,4,"No_Bias",-0.0111601996003909,NA,NA
2,11,"White",19,"Female",5,"Left",5,2,"No_Bias",NA,NA,-0.296036619228695
2,2,"White",26,"Female",7,"Moderate",5,1,"No_Bias",-0.14739183817108,NA,NA
2,5,"White",44,"Female",14,"Right",7,3,"No_Bias",NA,NA,-0.45051436547527
2,6,"White",37,"Female",7,"Moderate",7,1,"No_Bias",NA,NA,-0.315546044276782
2,2,"White",19,"Male",5,NA,NA,NA,"No_Bias",NA,NA,NA
2,10,"White",39,"Male",11,"Left",7,1,"COVID",-0.123133446175857,NA,NA
2,2,"White",24,"Male",9,NA,6,2,"COVID",NA,NA,NA
2,6,"Asian",21,"Female",5,"Left",8,1,"Non_COVID",-0.104700788690293,NA,NA
2,14,"White",76,"Female",8,"Left",2,1,"No_Bias",NA,NA,0.166964650127593
2,13,"White",19,"Female",5,"Left",5,1,"No_Bias",-0.114716745651504,NA,NA
2,2,"Other",19,"Female",5,"Left",6,1,"No_Bias",-0.0155072075114372,NA,NA
2,NA,"Asian",18,"Male",NA,"Moderate",6,2,"No_Bias",NA,0.0494088597209318,NA
2,11,"Black",19,"Female",4,"Left",3,3,"COVID",NA,NA,-0.235183396725774
2,7,"White",20,"Female",4,"Moderate",7,1,"No_Bias",NA,NA,NA
2,11,"Asian",21,"Female",5,"Left",8,1,"No_Bias",NA,0.633164125589106,NA
2,6,"Black",34,"Female",13,"Left",5,1,"No_Bias",NA,NA,-0.218658596518049
2,12,"White",39,"Female",9,"Left",7,1,"No_Bias",NA,NA,NA
2,11,"Asian",29,"Female",9,"Left",8,2,"No_Bias",NA,NA,0.372710114748976
2,2,"Other",22,"Female",5,"Moderate",7,2,"No_Bias",NA,NA,NA
2,8,"Other",18,"Female",4,"Moderate",5,1,"No_Bias",NA,-0.121420518226578,NA
2,5,"White",22,"Male",5,"Moderate",3,1,"No_Bias",NA,-0.555543895945147,NA
2,11,"White",51,"Male",13,"Left",8,2,"No_Bias",NA,0.232125129174983,NA
2,14,"Other",24,"Female",7,"Left",5,2,"No_Bias",NA,NA,0.170515397489363
2,14,"White",40,"Female",9,"Moderate",7,4,"No_Bias",NA,-0.21060082141586,NA
2,8,"White",53,"Female",7,"Right",7,3,"No_Bias",NA,NA,0.175502325587325
2,2,"White",57,"Male",5,"Left",7,1,"No_Bias",NA,NA,0.380983227050028
2,6,"White",37,"Male",6,"Right",6,2,"No_Bias",NA,0.0530633517067089,NA
2,8,"Black",20,"Male",5,NA,4,2,"No_Bias",-0.105303258940359,NA,NA
2,1,"White",27,"Female",13,"Left",5,1,"No_Bias",0.115329308181086,NA,NA
2,1,"Other",21,"Female",5,"Left",6,3,NA,0.676173709346646,NA,NA
2,NA,"White",18,"Male",NA,"Left",9,1,"No_Bias",NA,0.560430587083154,NA
2,12,"Black",44,"Female",7,"Moderate",6,2,"No_Bias",NA,NA,-0.104956438723935
2,13,"Other",23,"Female",7,"Moderate",6,2,"No_Bias",-0.349347915434325,NA,NA
2,14,"White",19,"Female",5,"Left",4,1,"No_Bias",NA,NA,0.189738807763624
2,11,"White",25,"Female",7,"Moderate",7,1,"No_Bias",0.372696934065043,NA,NA
2,2,"White",28,"Female",4,"Right",5,4,"No_Bias",NA,NA,-0.480699864040148
2,5,"Other",34,"Male",8,"Left",7,1,"No_Bias",0.505672397965421,NA,NA
3,5,"White",18,"Female",5,"Right",4,3,"No_Bias",NA,0.141134979026162,NA
3,2,"Asian",21,"Female",5,NA,7,NA,"COVID",0.140060835039157,NA,NA
3,2,"White",19,"Female",5,"Moderate",4,2,"COVID",NA,NA,-0.389434606886844
3,12,"White",26,"Female",8,"Left",5,2,"COVID",NA,-0.0740573429126924,NA
3,12,"White",24,"Female",7,"Moderate",6,3,"No_Bias",NA,0.667694781754545,NA
3,NA,"White",32,"Female",NA,"Left",6,1,"No_Bias",NA,NA,0.696943916493472
3,8,"White",23,"Female",5,NA,7,3,"No_Bias",NA,NA,0.109548583654134
3,2,"Asian",19,"Male",4,"Moderate",6,2,"No_Bias",-0.23948112329971,NA,NA
3,1,"Other",21,"Female",5,"Left",9,4,"No_Bias",NA,NA,NA
3,15,"White",28,"Female",5,"Left",4,2,"No_Bias",NA,NA,-0.750875439052879
3,9,"White",43,"Female",13,"Left",6,3,"No_Bias",NA,-0.529677079060804,NA
3,4,"White",49,"Male",7,"Left",7,1,"No_Bias",NA,NA,-0.32713759101638
3,9,"White",43,"Female",13,"Left",7,1,"No_Bias",NA,NA,-0.22205719093627
3,7,"White",29,"Male",7,"Moderate",8,1,"No_Bias",NA,-0.401418137412299,NA
3,2,"White",41,"Male",10,"Left",9,1,"No_Bias",NA,NA,-0.0239440406201724
3,6,"White",52,"Male",7,"Moderate",7,4,"No_Bias",NA,-0.234816081319321,NA
3,5,"White",27,"Female",8,"Left",4,2,"COVID",NA,NA,-0.605886010498777
3,11,"White",48,"Male",9,"Right",7,1,"No_Bias",NA,NA,-0.000603245766774391
3,1,"White",22,"Female",9,"Left",5,1,"No_Bias",NA,0.282695246068664,NA
3,5,"Black",28,"Female",9,"Left",5,1,"No_Bias",NA,NA,0.486321752040073
3,12,"White",19,"Female",5,"Left",7,3,"No_Bias",NA,NA,-0.207965689530523
3,12,"White",19,"Female",5,"Left",7,3,"No_Bias",NA,NA,-0.0576297053580258
3,8,"White",22,"Female",8,"Left",8,1,"No_Bias",NA,NA,-0.361382225945707
3,10,"Other",37,"Female",9,"Left",7,1,"No_Bias",0.605260944390787,NA,NA
3,5,"White",18,"Female",4,"Moderate",6,2,"No_Bias",NA,0.766197259052618,NA
3,1,"White",21,"Female",5,"Left",8,1,"No_Bias",NA,NA,0.931033212012761
3,8,"Other",23,"Male",7,NA,5,2,"No_Bias",NA,NA,-0.190485966167697
3,12,"Other",40,"Female",7,"Moderate",6,2,NA,0.714763396501122,NA,NA
3,4,"White",22,"Male",7,"Left",6,1,"No_Bias",0.969033124666405,NA,NA
3,14,"White",19,"Female",5,"Left",6,2,"No_Bias",NA,NA,0.795759639483801
3,14,"White",18,"Female",5,NA,6,4,"No_Bias",0.15591187187667,NA,NA
3,8,"White",23,"Female",7,"Moderate",7,2,"COVID",NA,-0.348514129746749,NA
3,2,"White",28,"Female",5,"Right",4,4,"No_Bias",NA,-0.0884061556326528,NA
3,5,"White",49,"Male",9,"Left",8,1,"No_Bias",0.461851827238638,NA,NA
3,8,"White",17,"Female",3,"Right",3,2,"No_Bias",-0.000902260349547002,NA,NA
3,2,"White",70,"Male",8,"Right",8,3,"No_Bias",NA,-1.03177756200127,NA
3,12,"Asian",18,"Female",5,"Left",6,3,"No_Bias",NA,NA,0.505105597203913
3,8,"White",19,"Female",5,"Left",5,1,"No_Bias",NA,NA,-0.829821497009788
3,11,"White",30,"Female",8,"Moderate",6,2,"No_Bias",-0.016782734657605,NA,NA
3,8,"White",18,"Female",3,"Right",3,2,"No_Bias",NA,NA,0.273187248487813
3,10,"White",39,"Female",11,"Left",8,1,NA,NA,-0.00424246543834896,NA
3,4,"White",32,"Male",7,"Moderate",6,1,"No_Bias",0.178787040174824,NA,NA
3,15,"White",61,"Female",5,NA,4,1,"COVID",NA,NA,0.0434651967252929
3,5,"White",62,"Female",7,"Left",3,2,"COVID",NA,-0.200662904148568,NA
3,5,"White",20,"Female",5,"Moderate",7,3,"No_Bias",NA,NA,-0.298030986429435
3,5,"White",47,"Female",7,"Moderate",9,2,"No_Bias",NA,0.0143276316710507,NA
3,8,"White",62,"Male",9,"Left",6,2,"No_Bias",0.217899587466701,NA,NA
3,3,"White",40,"Female",13,"Right",8,1,"COVID",NA,NA,-0.0547052871644666
3,5,"White",18,"Female",5,NA,4,NA,"COVID",0.0700767255511069,NA,NA
3,14,"Asian",51,"Female",7,"Left",6,2,"No_Bias",-0.132493137259564,NA,NA
3,12,"White",30,"Female",7,"Moderate",5,1,"COVID",0.479098161409304,NA,NA
3,1,"White",61,"Female",7,"Left",6,1,"No_Bias",NA,0.172021482723863,NA
3,2,"White",50,"Female",9,"Left",8,1,"No_Bias",NA,NA,0.557049908701872
3,6,"Other",20,"Female",4,"Left",5,1,"No_Bias",NA,NA,0.115302140663252
3,7,"White",53,"Male",13,"Right",7,2,"No_Bias",NA,NA,-0.292375342026077
3,7,"White",18,"Male",7,"Moderate",6,1,"No_Bias",NA,NA,0.160441805340967
3,12,"White",20,"Male",6,"Moderate",6,2,"No_Bias",NA,NA,NA
3,6,"Asian",25,"Male",9,"Moderate",7,2,"No_Bias",NA,-0.187016985218878,NA
3,11,"White",19,"Female",5,"Left",6,2,"No_Bias",-0.263683101716677,NA,NA
3,NA,"Other",18,"Female",NA,"Left",8,2,"COVID",NA,0.14147662246026,NA
3,1,"White",18,"Female",5,"Moderate",5,3,"No_Bias",NA,0.53615165413373,NA
3,8,"White",40,"Female",6,"Moderate",5,2,"No_Bias",0.62863078696564,NA,NA
3,12,"White",53,"Female",13,"Left",8,3,"COVID",NA,NA,-0.449385007510602
3,5,"White",49,"Female",9,"Moderate",8,3,"No_Bias",NA,NA,0.404880622667412
3,2,"White",20,"Male",5,"Left",8,3,"No_Bias",NA,-0.506660432349854,NA
3,8,"White",36,"Male",9,"Left",8,2,"COVID",0.320375313823013,NA,NA
4,15,"White",16,"Female",3,"Left",7,1,"No_Bias",NA,NA,0.479402238976413
4,11,"White",37,"Female",6,"Right",6,3,"No_Bias",NA,NA,-0.603979780420822
4,14,"White",19,"Female",5,"Moderate",4,3,"No_Bias",0.16657718253449,NA,NA
4,6,"White",48,"Male",9,"Left",8,1,"No_Bias",-0.472893207012049,NA,NA
4,9,"Black",19,"Female",5,"Left",5,3,"No_Bias",NA,0.966866093287307,NA
4,13,"White",23,"Male",4,"Moderate",7,1,"COVID",NA,-0.118881717236979,NA
4,12,"White",28,"Female",7,"Left",7,1,"No_Bias",NA,0.364629060886374,NA
4,13,"Other",17,"Male",3,"Moderate",8,1,"COVID",NA,NA,-0.231450995650447
4,9,"White",64,"Female",10,"Left",7,1,"No_Bias",0.267055162947541,NA,NA
4,11,"White",31,"Female",6,NA,5,2,"COVID",NA,0.427673563928539,NA
4,8,"White",40,"Female",14,"Left",8,1,"No_Bias",-0.430827896173952,NA,NA
4,8,"White",20,"Female",5,"Left",7,3,"No_Bias",NA,NA,-0.112190250284505
4,11,"White",22,"Female",5,"Left",5,1,"No_Bias",NA,NA,NA
4,6,"Asian",21,"Female",5,"Right",7,4,"No_Bias",NA,-0.532737166618324,NA
4,8,"White",18,"Female",4,NA,6,3,"No_Bias",NA,0.473131610003246,NA
4,12,"White",33,"Female",5,"Left",6,2,"No_Bias",NA,0.56600067864535,NA
4,11,"White",19,"Female",5,"Moderate",6,3,"COVID",0.442525939046433,NA,NA
4,10,"Other",21,"Female",7,"Left",3,3,"No_Bias",NA,-0.5912507517085,NA
4,13,"White",21,"Male",7,"Left",7,1,"No_Bias",NA,NA,-0.249248771400538
4,2,"White",32,"Female",9,"Moderate",6,2,"No_Bias",NA,-0.219317029498598,NA
4,11,"Asian",18,"Female",5,"Left",4,1,"COVID",NA,NA,0.623715552958342
4,5,"Black",21,"Female",4,"Moderate",4,2,"No_Bias",NA,NA,0.0753835358240447
4,14,"White",30,"Male",9,"Left",7,1,"No_Bias",NA,0.140618297175609,NA
4,10,"Asian",19,"Male",4,"Left",8,1,"No_Bias",NA,NA,NA
4,10,"Other",16,"Female",3,"Moderate",5,3,"No_Bias",NA,0.103250434871277,NA
4,11,"Asian",21,"Female",7,"Moderate",5,2,"No_Bias",NA,NA,-0.0492683830225293
4,8,"White",26,"Female",7,"Left",5,1,"No_Bias",-0.071121803572011,NA,NA
4,6,"White",46,"Male",7,"Left",7,1,"Non_COVID",NA,NA,0.763300409210277
4,14,"White",41,"Male",7,"Right",7,1,NA,-0.123684273499531,NA,NA
4,NA,"White",60,"Male",NA,"Left",5,1,"No_Bias",NA,-0.0329682150752758,NA
4,2,"Asian",25,"Female",9,NA,6,2,"No_Bias",NA,NA,0.278250943943246
4,14,"White",44,"Female",9,"Left",8,1,"No_Bias",0.137647765550239,NA,NA
4,4,"White",44,"Male",4,"Moderate",4,1,"COVID",NA,0.0556658842413583,NA
4,2,"White",19,"Female",5,NA,5,3,"No_Bias",NA,NA,0.652388019038441
4,10,"White",18,"Female",5,"Moderate",7,2,"No_Bias",-0.381428386339794,NA,NA
4,7,"White",56,"Female",3,"Left",5,2,"No_Bias",NA,-0.0407197365336795,NA
4,6,"Other",20,"Male",7,"Moderate",8,1,"No_Bias",NA,-0.0577559482682336,NA
4,11,"Other",56,"Male",9,NA,8,NA,"No_Bias",NA,NA,NA
4,2,"White",24,"Female",7,"Moderate",5,2,"COVID",NA,NA,0.642091781395844
4,2,"White",18,"Male",5,"Moderate",8,1,"No_Bias",-0.386872135954744,NA,NA
4,8,"White",22,"Female",8,"Left",9,4,"No_Bias",NA,0.768721647038152,NA
4,8,"White",19,"Male",5,"Right",7,4,"No_Bias",0.00283713747896075,NA,NA
4,6,"White",22,"Female",8,"Moderate",6,1,"COVID",NA,NA,0.45109875246626
4,5,"White",34,"Female",9,"Left",5,1,"No_Bias",0.0843840274482646,NA,NA
4,NA,"White",47,"Female",NA,"Left",8,1,"No_Bias",0.191545585107162,NA,NA
4,12,"White",18,"Female",4,"Left",6,2,"No_Bias",NA,NA,-0.182839169794292
4,8,"Asian",20,"Male",6,"Left",3,3,"No_Bias",NA,NA,-0.223839304839212
4,6,"White",19,"Male",5,"Moderate",5,1,"No_Bias",NA,NA,-0.502049064425466
4,1,"White",22,"Male",6,"Moderate",7,1,"No_Bias",NA,NA,-0.447150162112282
4,6,"Other",19,"Male",5,"Moderate",7,3,"No_Bias",NA,NA,0.0215061071253004
4,4,"White",50,"Female",9,"Left",6,1,"No_Bias",0.337391114978561,NA,NA
4,5,"White",20,"Female",5,"Right",5,3,"No_Bias",NA,NA,-0.250202464334425
4,2,"Asian",23,"Male",7,"Moderate",6,1,"No_Bias",NA,0.489568469764919,NA
4,6,"Asian",29,"Female",9,"Left",7,3,"No_Bias",NA,-0.408927926470758,NA
4,8,"White",40,"Male",9,"Moderate",7,1,"No_Bias",NA,-0.206761525371232,NA
4,NA,"Black",49,"Male",NA,"Moderate",NA,2,"No_Bias",NA,NA,NA
4,6,"White",20,"Female",5,"Moderate",7,1,"No_Bias",NA,0.221377615291671,NA
4,6,"Asian",25,"Male",9,"Moderate",7,2,"No_Bias",NA,NA,0.320342755781819
4,5,"Other",35,"Female",9,"Left",6,3,"No_Bias",NA,0.0105003126030594,NA
4,12,"White",20,"Female",5,"Left",6,2,"No_Bias",-0.204420823391554,NA,NA
4,11,"Black",25,"Female",7,"Left",4,3,"No_Bias",NA,NA,NA
4,5,"White",26,"Female",8,"Left",3,2,"No_Bias",0.407460266089407,NA,NA
4,11,"Other",19,"Female",5,"Moderate",6,3,"No_Bias",NA,-0.0494138551657646,NA
4,11,"White",20,"Female",5,"Right",5,4,"No_Bias",NA,0.102485992587701,NA
4,1,"White",19,"Male",4,"Left",2,2,"No_Bias",NA,NA,0.111214750936066
4,1,"White",19,"Male",4,"Left",3,3,"No_Bias",0.158919260482433,NA,NA
4,6,"White",21,"Female",7,"Left",6,1,"No_Bias",NA,NA,-0.403679277697672
4,6,"White",22,"Female",8,"Left",7,1,"No_Bias",-0.230482543811017,NA,NA
4,11,"White",31,"Female",13,"Left",8,1,NA,0.104272512219123,NA,NA
4,14,"White",24,"Female",7,"Left",4,1,"No_Bias",NA,0.645835307554831,NA
4,11,"White",21,"Female",7,"Moderate",7,3,"No_Bias",NA,NA,-0.268936965247234
5,11,"White",36,"Female",9,"Left",7,1,"No_Bias",NA,NA,0.077976779008527
5,3,"White",52,"Male",5,"Moderate",7,1,"No_Bias",NA,NA,-0.659669126643538
5,NA,"Other",33,"Female",NA,"Right",6,3,"No_Bias",NA,NA,NA
5,14,"White",18,"Female",4,"Moderate",7,1,"No_Bias",0.0826589880288911,NA,NA
5,15,"White",16,"Female",3,"Moderate",6,3,NA,NA,-0.748053665473209,NA
5,10,"White",23,"Male",8,"Right",8,3,"No_Bias",NA,0.281593148716441,NA
5,14,"Other",25,"Female",5,"Moderate",5,2,"No_Bias",NA,NA,0.257897167427316
5,5,"White",19,"Female",5,"Moderate",7,3,NA,-0.00599660093998579,NA,NA
5,2,"White",35,"Female",11,"Left",8,1,"No_Bias",NA,-0.0244125420440868,NA
5,8,"White",21,"Female",6,"Left",6,1,"No_Bias",NA,NA,0.217877522429992
5,8,NA,NA,NA,6,NA,6,2,"No_Bias",NA,0.249115278511287,NA
5,7,"White",30,"Male",13,"Left",5,1,"No_Bias",0.644503033288725,NA,NA
5,5,"White",38,"Female",9,"Left",6,1,"No_Bias",NA,NA,-0.386318201153966
5,13,"White",22,"Male",7,NA,5,1,"No_Bias",0.554758321304715,NA,NA
5,2,"White",40,"Male",10,"Left",5,2,"COVID",NA,NA,-0.482208973551175
5,11,"White",23,"Female",7,"Moderate",6,2,"No_Bias",NA,0.887802272075004,NA
5,8,"White",58,"Male",13,"Left",10,1,"No_Bias",-0.64337913247592,NA,NA
5,11,"Asian",20,"Female",6,NA,6,4,"No_Bias",NA,-0.249146564955739,NA
5,11,"Asian",19,"Female",4,"Moderate",6,3,"No_Bias",NA,0.178158550158568,NA
5,11,"White",20,"Male",5,"Moderate",5,1,"No_Bias",NA,NA,NA
5,11,"Asian",20,"Female",4,NA,6,3,NA,NA,NA,-0.344874999909505
5,11,"Other",21,"Female",4,"Moderate",6,2,"No_Bias",NA,NA,-0.787113635474612
5,10,"White",40,"Male",5,"Moderate",3,1,"No_Bias",0.522532047870552,NA,NA
5,12,"White",49,"Female",9,"Left",7,1,"No_Bias",-0.00528007426638036,NA,NA
5,9,"White",18,"Female",7,"Moderate",6,1,"No_Bias",NA,0.057884750773814,NA
5,11,"White",23,"Female",4,"Moderate",5,1,"No_Bias",NA,NA,-0.340439399780028
5,11,"Black",20,"Female",5,"Moderate",4,4,"No_Bias",-0.382235656359862,NA,NA
5,10,"White",22,"Female",5,"Right",7,2,"No_Bias",NA,0.0935783485437412,NA
5,9,"White",30,"Female",7,"Left",6,1,"COVID",NA,NA,0.321919136926582
5,9,"White",42,"Male",13,"Left",8,1,"No_Bias",NA,NA,0.794465093529661
5,NA,"White",34,"Male",NA,"Moderate",6,4,"COVID",NA,-0.432434166736271,NA
5,9,"White",23,"Male",5,"Left",7,1,NA,NA,-0.257109301020906,NA
5,5,"White",39,"Female",9,"Left",3,1,"No_Bias",NA,0.216550763178437,NA
